dataset,method_name,method_display,retained_budget,failure_rows,low_slot_coverage,partial_slot_coverage,high_coverage_likelihood_drift,low_ear_candidate,decode_scorer_candidate,conflicting_retained_signals,ambiguous
hotpotqa,AdaKVPress,AdaKV,0.25,18,15,2,0,0,1,0,0
hotpotqa,AdaKVPress,AdaKV,0.5,8,2,5,0,0,1,0,0
hotpotqa,AdaKVPress,AdaKV,0.75,5,0,3,0,0,2,0,0
hotpotqa,ChunkKVPress_Knorm,ChunkKV,0.25,99,94,5,0,0,0,0,0
hotpotqa,ChunkKVPress_Knorm,ChunkKV,0.5,65,42,23,0,0,0,0,0
hotpotqa,ChunkKVPress_Knorm,ChunkKV,0.75,35,6,22,2,0,4,0,1
hotpotqa,KeyDiffPress,KeyDiff,0.25,98,98,0,0,0,0,0,0
hotpotqa,KeyDiffPress,KeyDiff,0.5,51,37,14,0,0,0,0,0
hotpotqa,KeyDiffPress,KeyDiff,0.75,24,0,13,2,0,6,0,3
hotpotqa,QuantizedCache,QuantizedCache,0.25,107,0,0,95,0,6,0,6
hotpotqa,QuantizedCache,QuantizedCache,0.5,8,0,0,0,0,7,0,1
hotpotqa,QuantizedCache,QuantizedCache,0.75,3,0,0,0,0,3,0,0
hotpotqa,SnapKVPress,SnapKV,0.25,22,20,2,0,0,0,0,0
hotpotqa,SnapKVPress,SnapKV,0.5,10,2,7,0,0,1,0,0
hotpotqa,SnapKVPress,SnapKV,0.75,5,0,3,0,0,2,0,0
hotpotqa,StreamingLLMPress,StreamingLLM,0.25,50,41,9,0,0,0,0,0
hotpotqa,StreamingLLMPress,StreamingLLM,0.5,36,22,11,0,0,3,0,0
hotpotqa,StreamingLLMPress,StreamingLLM,0.75,15,6,6,0,0,3,0,0
hotpotqa,TOVAPress,TOVA,0.25,17,14,3,0,0,0,0,0
hotpotqa,TOVAPress,TOVA,0.5,8,0,8,0,0,0,0,0
hotpotqa,TOVAPress,TOVA,0.75,3,0,0,0,0,2,0,1
hotpotqa,ThinKPress,ThinK,0.5,124,0,0,121,0,3,0,0
hotpotqa,ThinKPress,ThinK,0.75,16,0,0,0,0,16,0,0
qasper,AdaKVPress,AdaKV,0.25,7,7,0,0,0,0,0,0
qasper,AdaKVPress,AdaKV,0.5,6,1,5,0,0,0,0,0
qasper,ChunkKVPress_Knorm,ChunkKV,0.25,24,23,1,0,0,0,0,0
qasper,ChunkKVPress_Knorm,ChunkKV,0.5,22,15,7,0,0,0,0,0
qasper,ChunkKVPress_Knorm,ChunkKV,0.75,14,4,8,0,0,1,0,1
qasper,KeyDiffPress,KeyDiff,0.25,34,34,0,0,0,0,0,0
qasper,KeyDiffPress,KeyDiff,0.5,24,14,7,1,0,0,0,2
qasper,KeyDiffPress,KeyDiff,0.75,11,0,4,0,0,4,0,3
qasper,QuantizedCache,QuantizedCache,0.25,42,0,0,31,0,7,0,4
qasper,QuantizedCache,QuantizedCache,0.5,3,0,0,0,0,3,0,0
qasper,QuantizedCache,QuantizedCache,0.75,1,0,0,0,0,1,0,0
qasper,SnapKVPress,SnapKV,0.25,7,7,0,0,0,0,0,0
qasper,SnapKVPress,SnapKV,0.5,5,1,4,0,0,0,0,0
qasper,SnapKVPress,SnapKV,0.75,1,0,0,0,0,1,0,0
qasper,StreamingLLMPress,StreamingLLM,0.25,26,26,0,0,0,0,0,0
qasper,StreamingLLMPress,StreamingLLM,0.5,20,20,0,0,0,0,0,0
qasper,StreamingLLMPress,StreamingLLM,0.75,12,11,0,0,0,0,0,1
qasper,TOVAPress,TOVA,0.25,10,4,6,0,0,0,0,0
qasper,TOVAPress,TOVA,0.5,6,0,3,0,0,3,0,0
qasper,ThinKPress,ThinK,0.5,46,0,0,37,0,9,0,0
qasper,ThinKPress,ThinK,0.75,6,0,0,0,0,6,0,0
ruler16k,AdaKVPress,AdaKV,0.25,131,66,65,0,0,0,0,0
ruler16k,AdaKVPress,AdaKV,0.5,23,12,11,0,0,0,0,0
ruler16k,AdaKVPress,AdaKV,0.75,7,0,7,0,0,0,0,0
ruler16k,ChunkKVPress_Knorm,ChunkKV,0.25,448,173,244,1,0,29,0,1
ruler16k,ChunkKVPress_Knorm,ChunkKV,0.5,310,93,174,2,0,36,0,5
