task_key,method_family,compression_ratio,retained_budget,n_official_tasks,Acc,CIF,ERR,ECov,DRR,delta_NLL,GPR
longbench_v2,adaptive_headwise_pruning,0.25,0.75,1,1.0,0.0,1.0,1.0,N/A,0.0,1.0
longbench_v2,adaptive_headwise_pruning,0.5,0.5,1,1.0,0.0,1.0,1.0,N/A,0.0,1.0
longbench_v2,adaptive_headwise_pruning,0.75,0.25,1,1.0,0.0,0.9964421762680153,1.0,N/A,0.0,1.0
longbench_v2,attention_observation_pruning,0.25,0.75,1,1.0,0.0,1.0,1.0,N/A,0.0,1.0
longbench_v2,attention_observation_pruning,0.5,0.5,1,1.0,0.0,1.0,1.0,N/A,0.0,1.0
longbench_v2,attention_observation_pruning,0.75,0.25,1,1.0,0.0,0.9974811555783308,1.0,N/A,0.0,1.0
longbench_v2,budget_allocation_hierarchical,0.25,0.75,1,1.0,0.0,1.0,1.0,N/A,0.0,1.0
longbench_v2,budget_allocation_hierarchical,0.5,0.5,1,1.0,0.0,1.0,1.0,N/A,0.0,1.0
longbench_v2,budget_allocation_hierarchical,0.75,0.25,1,1.0,0.0,0.9974811555783308,1.0,N/A,0.0,1.0
longbench_v2,chunk_semantic_preservation,0.25,0.75,1,1.0,0.0,1.0,1.0,N/A,0.0,1.0
longbench_v2,chunk_semantic_preservation,0.5,0.5,1,1.0,0.0,0.9952738421189788,1.0,N/A,0.0,1.0
longbench_v2,chunk_semantic_preservation,0.75,0.25,1,1.0,0.0,0.9131709989021051,0.9982611021936866,N/A,0.0,1.0
longbench_v2,hf_kv_cache_quantization,0.25,0.75,1,1.0,0.0,1.0,1.0,N/A,0.0,1.0
longbench_v2,hf_kv_cache_quantization,0.5,0.5,1,1.0,0.0,1.0,1.0,N/A,0.0,1.0
longbench_v2,hf_kv_cache_quantization,0.75,0.25,1,0.9888888888888889,0.011111111111111112,1.0,1.0,N/A,0.0,1.0
longbench_v2,key_channel_pruning,0.25,0.75,1,1.0,0.0,1.0,1.0,N/A,0.0,1.0
longbench_v2,key_channel_pruning,0.5,0.5,1,0.9888888888888889,0.011111111111111112,1.0,1.0,N/A,0.0,1.0
longbench_v2,key_channel_pruning,0.75,0.25,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
longbench_v2,key_space_signal_pruning,0.25,0.75,1,0.9888888888888889,0.011111111111111112,1.0,1.0,N/A,0.0,1.0
longbench_v2,key_space_signal_pruning,0.5,0.5,1,0.9888888888888889,0.011111111111111112,1.0,1.0,N/A,0.0,1.0
longbench_v2,key_space_signal_pruning,0.75,0.25,1,0.9888888888888889,0.011111111111111112,0.9998816159352545,1.0,N/A,0.0,1.0
longbench_v2,last_query_attention_pruning,0.25,0.75,1,1.0,0.0,0.9999932272724193,1.0,N/A,0.0,1.0
longbench_v2,last_query_attention_pruning,0.5,0.5,1,1.0,0.0,0.9945632222943241,1.0,N/A,0.0,1.0
longbench_v2,last_query_attention_pruning,0.75,0.25,1,1.0,0.0,0.9178262375480148,1.0,N/A,0.0,1.0
longbench_v2,recency_attention_sink_pruning,0.25,0.75,1,1.0,0.0,0.7296907054803479,0.7396021430891637,N/A,0.0,1.0
longbench_v2,recency_attention_sink_pruning,0.5,0.5,1,1.0,0.0,0.5818476282571686,0.5901144430784105,N/A,0.0,1.0
longbench_v2,recency_attention_sink_pruning,0.75,0.25,1,1.0,0.0,0.3003189752968158,0.3076738865192953,N/A,0.0,1.0
