task_key,official_task_name,method_name,compression_ratio,retained_budget,n_samples,Acc,F1,CIF,ERR,ECov,DRR,delta_NLL,GPR,NA_metric_count
longbench_v2,longbench_v2,AdaKVPress,0.25,0.75,90,1.0,1.0,0.0,1.0,1.0,N/A,0.0,1.0,92
longbench_v2,longbench_v2,AdaKVPress,0.5,0.5,90,1.0,1.0,0.0,1.0,1.0,N/A,0.0,1.0,92
longbench_v2,longbench_v2,AdaKVPress,0.75,0.25,90,1.0,1.0,0.0,0.9964421762680153,1.0,N/A,0.0,1.0,92
longbench_v2,longbench_v2,ChunkKVPress_Knorm,0.25,0.75,90,1.0,1.0,0.0,1.0,1.0,N/A,0.0,1.0,92
longbench_v2,longbench_v2,ChunkKVPress_Knorm,0.5,0.5,90,1.0,1.0,0.0,0.9952738421189788,1.0,N/A,0.0,1.0,92
longbench_v2,longbench_v2,ChunkKVPress_Knorm,0.75,0.25,90,1.0,1.0,0.0,0.9131709989021051,0.9982611021936866,N/A,0.0,1.0,92
longbench_v2,longbench_v2,KeyDiffPress,0.25,0.75,90,0.9888888888888889,0.9888888888888889,0.011111111111111112,1.0,1.0,N/A,0.0,1.0,92
longbench_v2,longbench_v2,KeyDiffPress,0.5,0.5,90,0.9888888888888889,0.9888888888888889,0.011111111111111112,1.0,1.0,N/A,0.0,1.0,92
longbench_v2,longbench_v2,KeyDiffPress,0.75,0.25,90,0.9888888888888889,0.9888888888888889,0.011111111111111112,0.9998816159352545,1.0,N/A,0.0,1.0,92
longbench_v2,longbench_v2,PyramidKVPress,0.25,0.75,90,1.0,1.0,0.0,1.0,1.0,N/A,0.0,1.0,92
longbench_v2,longbench_v2,PyramidKVPress,0.5,0.5,90,1.0,1.0,0.0,1.0,1.0,N/A,0.0,1.0,92
longbench_v2,longbench_v2,PyramidKVPress,0.75,0.25,90,1.0,1.0,0.0,0.9974811555783308,1.0,N/A,0.0,1.0,92
longbench_v2,longbench_v2,QuantizedCache,0.25,0.75,90,1.0,1.0,0.0,1.0,1.0,N/A,0.0,1.0,92
longbench_v2,longbench_v2,QuantizedCache,0.5,0.5,90,1.0,1.0,0.0,1.0,1.0,N/A,0.0,1.0,92
longbench_v2,longbench_v2,QuantizedCache,0.75,0.25,90,0.9888888888888889,0.9888888888888889,0.011111111111111112,1.0,1.0,N/A,0.0,1.0,92
longbench_v2,longbench_v2,SnapKVPress,0.25,0.75,90,1.0,1.0,0.0,1.0,1.0,N/A,0.0,1.0,92
longbench_v2,longbench_v2,SnapKVPress,0.5,0.5,90,1.0,1.0,0.0,1.0,1.0,N/A,0.0,1.0,92
longbench_v2,longbench_v2,SnapKVPress,0.75,0.25,90,1.0,1.0,0.0,0.9974811555783308,1.0,N/A,0.0,1.0,92
longbench_v2,longbench_v2,StreamingLLMPress,0.25,0.75,90,1.0,1.0,0.0,0.7296907054803479,0.7396021430891637,N/A,0.0,1.0,92
longbench_v2,longbench_v2,StreamingLLMPress,0.5,0.5,90,1.0,1.0,0.0,0.5818476282571686,0.5901144430784105,N/A,0.0,1.0,92
longbench_v2,longbench_v2,StreamingLLMPress,0.75,0.25,90,1.0,1.0,0.0,0.3003189752968158,0.3076738865192953,N/A,0.0,1.0,92
longbench_v2,longbench_v2,TOVAPress,0.25,0.75,90,1.0,1.0,0.0,0.9999932272724193,1.0,N/A,0.0,1.0,92
longbench_v2,longbench_v2,TOVAPress,0.5,0.5,90,1.0,1.0,0.0,0.9945632222943241,1.0,N/A,0.0,1.0,92
longbench_v2,longbench_v2,TOVAPress,0.75,0.25,90,1.0,1.0,0.0,0.9178262375480148,1.0,N/A,0.0,1.0,92
longbench_v2,longbench_v2,ThinKPress,0.25,0.75,90,1.0,1.0,0.0,1.0,1.0,N/A,0.0,1.0,92
longbench_v2,longbench_v2,ThinKPress,0.5,0.5,90,0.9888888888888889,0.9888888888888889,0.011111111111111112,1.0,1.0,N/A,0.0,1.0,92
longbench_v2,longbench_v2,ThinKPress,0.75,0.25,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,450
