dataset,retained_budget,method_left,method_right,intersection,union,jaccard,left_ECov_slot,right_ECov_slot,left_delta_NLL,right_delta_NLL,left_EAR,right_EAR
HotpotQA,0.25,StreamingLLMPress,SnapKVPress,20,52,0.38461538461538464,0.11666666666666667,0.21372974537037037,1.9182326384073,0.810631106779109,,
HotpotQA,0.25,StreamingLLMPress,TOVAPress,13,54,0.24074074074074073,0.1794871794871795,0.29024216524216523,2.0022136220445867,1.1624918289852846,,
HotpotQA,0.25,StreamingLLMPress,KeyDiffPress,40,108,0.37037037037037035,0.12083333333333332,0.04116753472222222,2.140508554275867,4.631575867024411,,
HotpotQA,0.25,StreamingLLMPress,ChunkKVPress_Knorm,43,106,0.4056603773584906,0.10077519379844961,0.17048880275624462,1.9699671363346405,3.301900859997782,,
HotpotQA,0.25,StreamingLLMPress,AdaKVPress,17,51,0.3333333333333333,0.13725490196078433,0.26681644880174293,1.894238671064483,0.8068991366421743,,
HotpotQA,0.25,StreamingLLMPress,QuantizedCache,46,111,0.4144144144144144,0.10507246376811594,1.0,2.0147585560512558,5.682192254889653,,
HotpotQA,0.25,SnapKVPress,TOVAPress,7,32,0.21875,0.23420965608465608,0.24537037037037038,1.294172347665485,1.520430717926746,,
HotpotQA,0.25,SnapKVPress,KeyDiffPress,19,101,0.18811881188118812,0.24299159356725145,0.0508010477582846,0.9735175316528135,3.1407930055107864,,
HotpotQA,0.25,SnapKVPress,ChunkKVPress_Knorm,18,103,0.17475728155339806,0.1870659722222222,0.14917695473251028,0.8931893220313429,3.1616922632323985,,
HotpotQA,0.25,SnapKVPress,AdaKVPress,14,26,0.5384615384615384,0.2300760582010582,0.2605820105820106,0.9591095426024154,0.7158695177846873,,
HotpotQA,0.25,SnapKVPress,QuantizedCache,20,109,0.1834862385321101,0.212572337962963,1.0,0.8230167372447157,5.0885049287318695,,
HotpotQA,0.25,TOVAPress,KeyDiffPress,16,99,0.16161616161616163,0.31626157407407407,0.056712962962962965,1.1205693423515335,4.068197558779192,,
HotpotQA,0.25,TOVAPress,ChunkKVPress_Knorm,17,99,0.1717171717171717,0.3156318082788671,0.17674291938997821,1.1623348187031723,3.300639824614056,,
HotpotQA,0.25,TOVAPress,AdaKVPress,9,26,0.34615384615384615,0.26954732510288065,0.33121141975308643,1.1825759044566464,0.8171640552001461,,
HotpotQA,0.25,TOVAPress,QuantizedCache,17,107,0.1588785046728972,0.3156318082788671,1.0,1.1623348187031723,7.162983399240175,,
HotpotQA,0.25,KeyDiffPress,ChunkKVPress_Knorm,83,114,0.7280701754385965,0.053366242748772864,0.1717983043284248,3.987965956852348,2.950479419883598,,
HotpotQA,0.25,KeyDiffPress,AdaKVPress,14,102,0.13725490196078433,0.03265542328042328,0.3492890211640211,3.360667282678718,0.8939871268094823,,
HotpotQA,0.25,KeyDiffPress,QuantizedCache,84,121,0.6942148760330579,0.06130814594356261,1.0,3.5773257773642126,6.987752644355494,,
HotpotQA,0.25,ChunkKVPress_Knorm,AdaKVPress,16,101,0.15841584158415842,0.18981481481481483,0.28761574074074076,2.665650026053429,0.8443247124031827,,
HotpotQA,0.25,ChunkKVPress_Knorm,QuantizedCache,84,122,0.6885245901639344,0.18036265432098764,1.0,2.9282677932102703,6.575181051288857,,
HotpotQA,0.25,AdaKVPress,QuantizedCache,18,107,0.16822429906542055,0.30340149176954734,1.0,0.762087419750762,4.764978502293079,,
HotpotQA,0.5,StreamingLLMPress,SnapKVPress,7,39,0.1794871794871795,0.23809523809523808,0.5615079365079365,1.7540966214903586,0.6628220179010101,,
HotpotQA,0.5,StreamingLLMPress,TOVAPress,5,39,0.1282051282051282,0.3,0.774074074074074,1.4208458215278519,0.5536826554805359,,
HotpotQA,0.5,StreamingLLMPress,KeyDiffPress,19,68,0.27941176470588236,0.4385964912280702,0.42641325536062374,1.7896330850768962,1.9897582178358222,,
HotpotQA,0.5,StreamingLLMPress,ThinKPress,36,124,0.2903225806451613,0.2916666666666667,1.0,2.01826328014541,10.677031738656853,,
HotpotQA,0.5,StreamingLLMPress,ChunkKVPress_Knorm,24,77,0.3116883116883117,0.34722222222222227,0.4611304012345679,2.0056272088210987,1.2881331786901713,,
HotpotQA,0.5,StreamingLLMPress,AdaKVPress,6,38,0.15789473684210525,0.3888888888888889,0.6403356481481481,1.2609163528204457,0.36743561727414864,,
HotpotQA,0.5,StreamingLLMPress,QuantizedCache,4,40,0.1,0.5,1.0,0.019921749981254733,0.04999690109743815,,
HotpotQA,0.5,SnapKVPress,TOVAPress,5,13,0.38461538461538464,0.6916666666666667,0.7722222222222223,0.38288202879330197,0.4776908280907269,,
HotpotQA,0.5,SnapKVPress,KeyDiffPress,8,53,0.1509433962264151,0.5572916666666666,0.4678819444444444,0.7897585417957492,1.0884874134412605,,
HotpotQA,0.5,SnapKVPress,ThinKPress,9,125,0.072,0.5246913580246914,1.0,0.7690672603965434,9.350686585000751,,
HotpotQA,0.5,SnapKVPress,ChunkKVPress_Knorm,8,67,0.11940298507462686,0.5842013888888888,0.4184027777777778,0.7886360612101941,1.0175735949474547,,
HotpotQA,0.5,SnapKVPress,AdaKVPress,6,12,0.5,0.5152391975308642,0.5173611111111112,0.7527544695417462,0.5649424277547265,,
HotpotQA,0.5,SnapKVPress,QuantizedCache,3,15,0.2,0.7256944444444443,1.0,0.2351454862883521,0.0004434062472142841,,
HotpotQA,0.5,TOVAPress,KeyDiffPress,5,54,0.09259259259259259,0.763888888888889,0.48611111111111116,0.5433456626472528,0.9020863520094926,,
HotpotQA,0.5,TOVAPress,ThinKPress,6,126,0.047619047619047616,0.7608024691358025,1.0,0.7647511416026301,9.45823294906256,,
HotpotQA,0.5,TOVAPress,ChunkKVPress_Knorm,8,65,0.12307692307692308,0.7667824074074074,0.47627314814814814,0.5735633562019726,1.1565584000311655,,
HotpotQA,0.5,TOVAPress,AdaKVPress,3,13,0.23076923076923078,0.8101851851851851,0.6228780864197531,0.18945352274684435,0.4000845904335207,,
HotpotQA,0.5,TOVAPress,QuantizedCache,4,12,0.3333333333333333,0.7569444444444444,1.0,0.5607272904549657,0.05049863967531598,,
HotpotQA,0.5,KeyDiffPress,ThinKPress,50,125,0.4,0.4093287037037037,1.0,1.5128572050138496,11.139953090837235,,
HotpotQA,0.5,KeyDiffPress,ChunkKVPress_Knorm,41,75,0.5466666666666666,0.42641994128274613,0.42903116531165314,1.3988742960221856,1.65973568128459,,
HotpotQA,0.5,KeyDiffPress,AdaKVPress,6,53,0.11320754716981132,0.44579475308641975,0.6060956790123456,0.7982629715598932,0.49401317680788037,,
HotpotQA,0.5,KeyDiffPress,QuantizedCache,8,51,0.1568627450980392,0.4763454861111111,1.0,0.9292638466626122,0.0247395649243094,,
HotpotQA,0.5,ThinKPress,ChunkKVPress_Knorm,63,126,0.5,1.0,0.42500734861845973,11.72268526317625,1.8875837713200707,,
HotpotQA,0.5,ThinKPress,AdaKVPress,8,124,0.06451612903225806,1.0,0.5922309027777778,7.774739715878925,0.42309936869976394,,
HotpotQA,0.5,ThinKPress,QuantizedCache,7,125,0.056,1.0,1.0,8.52735007916432,0.02827378848492503,,
HotpotQA,0.5,ChunkKVPress_Knorm,AdaKVPress,6,67,0.08955223880597014,0.43904320987654316,0.6035879629629629,0.884120905057051,0.515066161830131,,
HotpotQA,0.5,ChunkKVPress_Knorm,QuantizedCache,8,65,0.12307692307692308,0.3645833333333333,1.0,1.4880510762123267,0.0247395649243094,,
HotpotQA,0.5,AdaKVPress,QuantizedCache,2,14,0.14285714285714285,0.7873263888888888,1.0,7.293981191480725e-05,1.716449150990229e-05,,
HotpotQA,0.75,StreamingLLMPress,SnapKVPress,3,17,0.17647058823529413,0.611111111111111,0.9239969135802468,0.5783200707115946,0.1533272136282479,,
HotpotQA,0.75,StreamingLLMPress,TOVAPress,2,16,0.125,0.75,0.9930555555555556,0.0,0.0,,
HotpotQA,0.75,StreamingLLMPress,KeyDiffPress,6,33,0.18181818181818182,0.7222222222222222,0.8686342592592592,1.7112922093573337,0.6107387066825645,,
HotpotQA,0.75,StreamingLLMPress,ThinKPress,6,25,0.24,0.6388888888888888,1.0,1.4210549655818958,0.0023461568504959582,,
HotpotQA,0.75,StreamingLLMPress,ChunkKVPress_Knorm,8,42,0.19047619047619047,0.6458333333333334,0.736111111111111,1.5254795707364976,0.954700887921517,,
HotpotQA,0.75,StreamingLLMPress,AdaKVPress,3,17,0.17647058823529413,0.8333333333333334,0.9322916666666666,2.8060547865305097e-05,-1.8737434099117916e-06,,
HotpotQA,0.75,StreamingLLMPress,QuantizedCache,1,17,0.058823529411764705,1.0,1.0,8.418164359591529e-05,2.812369954563465e-05,,
HotpotQA,0.75,SnapKVPress,TOVAPress,2,6,0.3333333333333333,0.9427083333333333,0.9930555555555556,0.0,0.0,,
HotpotQA,0.75,SnapKVPress,KeyDiffPress,3,26,0.11538461538461539,0.9060570987654321,0.898533950617284,0.27897141436421863,0.3358278659796124,,
HotpotQA,0.75,SnapKVPress,ThinKPress,3,18,0.16666666666666666,0.9126157407407408,1.0,0.12564420073597074,-0.005596694168520895,,
HotpotQA,0.75,SnapKVPress,ChunkKVPress_Knorm,4,36,0.1111111111111111,0.9061053240740741,0.7743055555555556,0.20922856077316399,0.23056887630815198,,
HotpotQA,0.75,SnapKVPress,AdaKVPress,3,7,0.42857142857142855,0.9126157407407408,0.8807870370370371,0.12564420073597074,0.15127123637649223,,
HotpotQA,0.75,TOVAPress,KeyDiffPress,2,25,0.08,0.9861111111111112,0.8836805555555556,0.3072474664128677,-0.0015427199306234929,,
HotpotQA,0.75,TOVAPress,ThinKPress,2,17,0.11764705882352941,0.9930555555555556,1.0,0.0,0.0,,
HotpotQA,0.75,TOVAPress,ChunkKVPress_Knorm,2,36,0.05555555555555555,0.9930555555555556,0.5833333333333333,0.0,0.0,,
