task_key,method_family,compression_ratio,retained_budget,n_official_tasks,Acc,CIF,ERR,ECov,DRR,delta_NLL,GPR
longbench_hotpotqa,adaptive_headwise_pruning,0.25,0.75,1,0.715,0.025,1.0,1.0,1.0,0.015326143169361815,0.9884538355685847
longbench_hotpotqa,adaptive_headwise_pruning,0.5,0.5,1,0.7,0.04,1.0,1.0,0.999982839676528,0.06858324311712957,0.9606590189647725
longbench_hotpotqa,adaptive_headwise_pruning,0.75,0.25,1,0.655,0.09,0.9963632931668533,1.0,0.9827761945854,0.2161104291163064,0.905534493069592
longbench_hotpotqa,attention_observation_pruning,0.25,0.75,1,0.715,0.025,1.0,1.0,1.0,0.01931711064258198,0.9882854084229621
longbench_hotpotqa,attention_observation_pruning,0.5,0.5,1,0.69,0.05,1.0,1.0,0.9999618184726562,0.08934134681094896,0.9505432050537239
longbench_hotpotqa,attention_observation_pruning,0.75,0.25,1,0.63,0.11,0.9952512779965497,1.0,0.9800997307042811,0.26576766066204177,0.909326007403931
longbench_hotpotqa,budget_allocation_hierarchical,0.25,0.75,1,0.715,0.025,1.0,1.0,1.0,0.01931711064258198,0.9882854084229621
longbench_hotpotqa,budget_allocation_hierarchical,0.5,0.5,1,0.69,0.05,1.0,1.0,0.9999618184726562,0.08934134681094896,0.9505432050537239
longbench_hotpotqa,budget_allocation_hierarchical,0.75,0.25,1,0.63,0.11,0.9952512779965497,1.0,0.9800997307042811,0.26576766066204177,0.909326007403931
longbench_hotpotqa,chunk_semantic_preservation,0.25,0.75,1,0.605,0.175,0.9979166666666667,0.9983333333333333,0.9981775592845252,0.18541273665663155,0.9861009488257442
longbench_hotpotqa,chunk_semantic_preservation,0.5,0.5,1,0.45,0.325,0.9533457876685617,0.9891666666666667,0.969178301686656,0.781181275375168,0.8586958407555142
longbench_hotpotqa,chunk_semantic_preservation,0.75,0.25,1,0.285,0.495,0.7631559786081047,0.9179999999999999,0.7990465862367461,1.9306125987748362,0.543878760891517
longbench_hotpotqa,hf_kv_cache_quantization,0.25,0.75,1,0.725,0.015,1.0,1.0,1.0,-0.0005760012167786477,1.0007067189441132
longbench_hotpotqa,hf_kv_cache_quantization,0.5,0.5,1,0.7,0.04,1.0,1.0,1.0,0.008997451511388544,0.9985838294883463
longbench_hotpotqa,hf_kv_cache_quantization,0.75,0.25,1,0.21,0.535,1.0,1.0,1.0,5.085420655163106,0.34465768289313936
longbench_hotpotqa,key_channel_pruning,0.25,0.75,1,0.685,0.08,1.0,1.0,1.0,-0.0366978503104626,1.0673611568089816
longbench_hotpotqa,key_channel_pruning,0.5,0.5,1,0.125,0.62,1.0,1.0,1.0,9.841021450614612,0.1556774092582074
longbench_hotpotqa,key_channel_pruning,0.75,0.25,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
longbench_hotpotqa,key_space_signal_pruning,0.25,0.75,1,0.645,0.12,1.0,1.0,1.0,0.02739020259822621,1.0412541029786277
longbench_hotpotqa,key_space_signal_pruning,0.5,0.5,1,0.515,0.255,1.0,1.0,1.0,0.5556636107330276,0.8088276324562428
longbench_hotpotqa,key_space_signal_pruning,0.75,0.25,1,0.255,0.49,0.9999537037037036,1.0,0.9999782209407566,2.811841789245106,0.40760764530351634
longbench_hotpotqa,last_query_attention_pruning,0.25,0.75,1,0.725,0.015,0.9999499607535322,1.0,0.9993702432213447,0.018382811204283745,0.9904324004177775
longbench_hotpotqa,last_query_attention_pruning,0.5,0.5,1,0.7,0.04,0.9972237733295582,1.0,0.9776110011958709,0.06301155023022913,0.9651052164828475
