dataset,method_name,method_display,retained_budget,failure_rows,unique_source_samples,full_score_mean,full_score_valid_n,compressed_score_mean,compressed_score_valid_n,score_drop_mean,score_drop_valid_n,ERR_slot_mean,ERR_slot_valid_n,ECov_slot_mean,ECov_slot_valid_n,full_gold_NLL_mean,full_gold_NLL_valid_n,compressed_gold_NLL_mean,compressed_gold_NLL_valid_n,delta_NLL_mean,delta_NLL_valid_n,GPR_mean,GPR_valid_n,EAR_mean,EAR_valid_n,KL_mean,KL_valid_n,TopK_mean,TopK_valid_n,gold_rank_shift_mean,gold_rank_shift_valid_n
hotpotqa,AdaKVPress,AdaKV,0.25,18,18,1.0,18,0.0,18,1.0,18,0.3300507573847046,18,0.30340149176954734,18,5.254849725744411,18,6.016937145495174,18,0.762087419750762,18,0.6245263274396122,18,,0,,0,,0,,0
hotpotqa,AdaKVPress,AdaKV,0.5,8,8,1.0,8,0.0,8,1.0,8,0.5813915088051405,8,0.5922309027777778,8,3.4425098728957773,8,3.865609241595541,8,0.42309936869976394,8,0.7214670165437221,8,,0,,0,,0,,0
hotpotqa,AdaKVPress,AdaKV,0.75,5,5,1.0,5,0.0,5,1.0,5,0.8846118503760347,5,0.8947916666666667,5,8.21155523802152,5,8.302913125193966,5,0.09135788717244671,5,0.9264459534938949,5,,0,,0,,0,,0
hotpotqa,ChunkKVPress_Knorm,ChunkKV,0.25,99,99,1.0,99,0.0,99,1.0,99,0.22604761568914175,99,0.1926674148896371,99,3.304218894455822,99,6.225008070675592,99,2.9207891762197695,99,0.222342465796342,99,,0,,0,,0,,0
hotpotqa,ChunkKVPress_Knorm,ChunkKV,0.5,65,65,1.0,65,0.0,65,1.0,65,0.45199662093966925,65,0.4236823361823362,65,3.694582259041593,65,5.524086529705662,65,1.8295042706640685,65,0.39817603073055485,65,,0,,0,,0,,0
hotpotqa,ChunkKVPress_Knorm,ChunkKV,0.75,35,35,1.0,35,0.0,35,1.0,35,0.7143891242456789,35,0.7021825396825397,35,3.7685365580422587,35,4.5053828982157835,35,0.7368463401735248,35,0.6473826325412777,35,,0,,0,,0,,0
hotpotqa,KeyDiffPress,KeyDiff,0.25,98,98,1.0,98,0.0,98,1.0,98,0.23259905145388882,98,0.06472859977324263,98,3.2695810177105917,98,6.899109976192665,98,3.6295289584820734,98,0.20481289524892068,98,,0,,0,,0,,0
hotpotqa,KeyDiffPress,KeyDiff,0.5,51,51,1.0,51,0.0,51,1.0,51,0.4608702720818297,51,0.4081449709513435,51,3.485113869263518,51,4.968307207512391,51,1.4831933382488722,51,0.4983040711349141,51,,0,,0,,0,,0
hotpotqa,KeyDiffPress,KeyDiff,0.75,24,24,1.0,24,0.0,24,1.0,24,0.7166989652017536,24,0.8825472608024691,24,4.847244065474346,24,5.222000098450732,24,0.37475603297638616,24,0.781687394780477,24,,0,,0,,0,,0
hotpotqa,QuantizedCache,QuantizedCache,0.25,107,107,1.0,107,0.0,107,1.0,107,,0,,0,3.4933883507699983,107,10.124614339779209,107,6.631225989009209,107,0.10787101637411493,107,,0,,0,,0,,0
