dataset,dataset_display,retained_budget,mean_C_to_W_rate,SnapKV_TOVA_failure_Jaccard
ruler8k,RULER-8K,0.75,7.631714876033057,0.2413793103448276
ruler8k,RULER-8K,0.5,29.325929752066116,0.14388489208633093
ruler8k,RULER-8K,0.25,45.86776859504132,0.2785515320334262
ruler16k,RULER-16K,0.75,7.294952681388013,0.29411764705882354
ruler16k,RULER-16K,0.5,26.919032597266035,0.13559322033898305
ruler16k,RULER-16K,0.25,41.95583596214511,0.16845878136200718
qasper,Qasper,0.75,9.533898305084746,0.0
qasper,Qasper,0.5,27.966101694915253,0.375
qasper,Qasper,0.25,36.31961259079903,0.7
hotpotqa,HotpotQA,0.75,8.952702702702704,0.3333333333333333
hotpotqa,HotpotQA,0.5,26.182432432432435,0.38461538461538464
hotpotqa,HotpotQA,0.25,39.67181467181467,0.21875
