dataset,dataset_display,method_name,method_display,retained_budget,source_count,support_status,fullcache_task_score,fullcache_binary_accuracy,fullcache_correct_sources,compressed_task_score,compressed_binary_accuracy,C_to_W_rows,C_to_W_rate_given_fullcache_correct
ruler8k,RULER-8K,StreamingLLMPress,StreamingLLM,0.75,1100,supported,97.05757575757576,88.0,968,79.73787878787878,64.9090909090909,287,29.64876033057851
ruler8k,RULER-8K,StreamingLLMPress,StreamingLLM,0.5,1100,supported,97.05757575757576,88.0,968,57.21060606060606,40.36363636363636,547,56.50826446280992
ruler8k,RULER-8K,StreamingLLMPress,StreamingLLM,0.25,1100,supported,97.05757575757576,88.0,968,32.85909090909091,17.09090909090909,789,81.50826446280992
ruler8k,RULER-8K,SnapKVPress,SnapKV,0.75,1100,supported,97.05757575757576,88.0,968,96.60606060606062,87.18181818181819,24,2.479338842975207
ruler8k,RULER-8K,SnapKVPress,SnapKV,0.5,1100,supported,97.05757575757576,88.0,968,90.78333333333333,79.72727272727272,111,11.466942148760332
ruler8k,RULER-8K,SnapKVPress,SnapKV,0.25,1100,supported,97.05757575757576,88.0,968,82.9030303030303,66.9090909090909,246,25.413223140495866
ruler8k,RULER-8K,TOVAPress,TOVA,0.75,1100,supported,97.05757575757576,88.0,968,96.92575757575757,87.81818181818181,12,1.2396694214876034
ruler8k,RULER-8K,TOVAPress,TOVA,0.5,1100,supported,97.05757575757576,88.0,968,95.24242424242425,84.9090909090909,48,4.958677685950414
ruler8k,RULER-8K,TOVAPress,TOVA,0.25,1100,supported,97.05757575757576,88.0,968,84.62575757575758,70.0909090909091,213,22.004132231404956
ruler8k,RULER-8K,KeyDiffPress,KeyDiff,0.75,1100,supported,97.05757575757576,88.0,968,96.63333333333334,89.0,52,5.371900826446281
ruler8k,RULER-8K,KeyDiffPress,KeyDiff,0.5,1100,supported,97.05757575757576,88.0,968,90.71818181818182,79.18181818181819,140,14.46280991735537
ruler8k,RULER-8K,KeyDiffPress,KeyDiff,0.25,1100,supported,97.05757575757576,88.0,968,78.63787878787879,64.36363636363637,293,30.268595041322317
ruler8k,RULER-8K,ThinKPress,ThinK,0.75,1100,supported,97.05757575757576,88.0,968,97.65454545454546,90.36363636363637,21,2.169421487603306
ruler8k,RULER-8K,ThinKPress,ThinK,0.5,1100,supported,97.05757575757576,88.0,968,0.0,0.0,968,100.0
ruler8k,RULER-8K,ThinKPress,ThinK,0.25,1100,unsupported,97.05757575757576,88.0,968,,,0,
ruler8k,RULER-8K,ChunkKVPress_Knorm,ChunkKV,0.75,1100,supported,97.05757575757576,88.0,968,89.89090909090909,76.0,171,17.665289256198346
ruler8k,RULER-8K,ChunkKVPress_Knorm,ChunkKV,0.5,1100,supported,97.05757575757576,88.0,968,76.62272727272727,58.81818181818181,359,37.086776859504134
ruler8k,RULER-8K,ChunkKVPress_Knorm,ChunkKV,0.25,1100,supported,97.05757575757576,88.0,968,58.48181818181818,43.90909090909091,513,52.99586776859504
ruler8k,RULER-8K,AdaKVPress,AdaKV,0.75,1100,supported,97.05757575757576,88.0,968,96.87272727272726,87.54545454545455,15,1.5495867768595042
ruler8k,RULER-8K,AdaKVPress,AdaKV,0.5,1100,supported,97.05757575757576,88.0,968,93.43636363636362,83.0,71,7.334710743801653
ruler8k,RULER-8K,AdaKVPress,AdaKV,0.25,1100,supported,97.05757575757576,88.0,968,84.12424242424242,68.18181818181817,233,24.070247933884296
ruler8k,RULER-8K,QuantizedCache,QuantizedCache,0.75,1100,supported,97.05757575757576,88.0,968,96.9621212121212,87.72727272727273,9,0.9297520661157025
ruler8k,RULER-8K,QuantizedCache,QuantizedCache,0.5,1100,supported,97.05757575757576,88.0,968,97.08636363636364,88.27272727272727,27,2.7892561983471076
ruler8k,RULER-8K,QuantizedCache,QuantizedCache,0.25,1100,supported,97.05757575757576,88.0,968,20.01969696969697,13.818181818181818,821,84.81404958677686
ruler16k,RULER-16K,StreamingLLMPress,StreamingLLM,0.75,1100,supported,96.80151515151515,86.45454545454545,951,76.7969696969697,60.09090909090909,302,31.756046267087278
ruler16k,RULER-16K,StreamingLLMPress,StreamingLLM,0.5,1100,supported,96.80151515151515,86.45454545454545,951,54.85,37.09090909090909,555,58.359621451104104
ruler16k,RULER-16K,StreamingLLMPress,StreamingLLM,0.25,1100,supported,96.80151515151515,86.45454545454545,951,33.598484848484844,20.18181818181818,738,77.60252365930599
ruler16k,RULER-16K,SnapKVPress,SnapKV,0.75,1100,supported,96.80151515151515,86.45454545454545,951,96.76060606060605,86.0909090909091,13,1.3669821240799158
ruler16k,RULER-16K,SnapKVPress,SnapKV,0.5,1100,supported,96.80151515151515,86.45454545454545,951,95.26969696969697,84.0909090909091,34,3.5751840168243953
ruler16k,RULER-16K,SnapKVPress,SnapKV,0.25,1100,supported,96.80151515151515,86.45454545454545,951,86.27121212121213,72.36363636363636,160,16.824395373291274
ruler16k,RULER-16K,TOVAPress,TOVA,0.75,1100,supported,96.80151515151515,86.45454545454545,951,96.72121212121213,86.27272727272727,9,0.9463722397476341
ruler16k,RULER-16K,TOVAPress,TOVA,0.5,1100,supported,96.80151515151515,86.45454545454545,951,95.4560606060606,84.63636363636363,33,3.4700315457413247
ruler16k,RULER-16K,TOVAPress,TOVA,0.25,1100,supported,96.80151515151515,86.45454545454545,951,85.53181818181818,72.0,166,17.455310199789693
ruler16k,RULER-16K,KeyDiffPress,KeyDiff,0.75,1100,supported,96.80151515151515,86.45454545454545,951,96.26363636363638,86.81818181818181,39,4.100946372239748
ruler16k,RULER-16K,KeyDiffPress,KeyDiff,0.5,1100,supported,96.80151515151515,86.45454545454545,951,90.90303030303029,80.81818181818183,114,11.987381703470032
ruler16k,RULER-16K,KeyDiffPress,KeyDiff,0.25,1100,supported,96.80151515151515,86.45454545454545,951,78.92272727272727,64.63636363636364,267,28.075709779179807
ruler16k,RULER-16K,ThinKPress,ThinK,0.75,1100,supported,96.80151515151515,86.45454545454545,951,97.23333333333332,87.45454545454545,17,1.7875920084121977
ruler16k,RULER-16K,ThinKPress,ThinK,0.5,1100,supported,96.80151515151515,86.45454545454545,951,0.0,0.0,951,100.0
ruler16k,RULER-16K,ThinKPress,ThinK,0.25,1100,unsupported,96.80151515151515,86.45454545454545,951,,,0,
ruler16k,RULER-16K,ChunkKVPress_Knorm,ChunkKV,0.75,1100,supported,96.80151515151515,86.45454545454545,951,89.38484848484849,75.27272727272727,164,17.245005257623554
ruler16k,RULER-16K,ChunkKVPress_Knorm,ChunkKV,0.5,1100,supported,96.80151515151515,86.45454545454545,951,78.3409090909091,61.63636363636363,310,32.597266035751844
ruler16k,RULER-16K,ChunkKVPress_Knorm,ChunkKV,0.25,1100,supported,96.80151515151515,86.45454545454545,951,62.404545454545456,47.18181818181818,448,47.10830704521556
ruler16k,RULER-16K,AdaKVPress,AdaKV,0.75,1100,supported,96.80151515151515,86.45454545454545,951,96.76969696969697,86.18181818181819,7,0.7360672975814931
ruler16k,RULER-16K,AdaKVPress,AdaKV,0.5,1100,supported,96.80151515151515,86.45454545454545,951,96.31060606060606,85.0909090909091,23,2.4185068349106205
ruler16k,RULER-16K,AdaKVPress,AdaKV,0.25,1100,supported,96.80151515151515,86.45454545454545,951,88.25151515151515,74.81818181818181,131,13.774973711882229
ruler16k,RULER-16K,QuantizedCache,QuantizedCache,0.75,1100,supported,96.80151515151515,86.45454545454545,951,96.90757575757576,86.72727272727273,4,0.4206098843322818
ruler16k,RULER-16K,QuantizedCache,QuantizedCache,0.5,1100,supported,96.80151515151515,86.45454545454545,951,95.9651515151515,85.81818181818181,28,2.9442691903259726
ruler16k,RULER-16K,QuantizedCache,QuantizedCache,0.25,1100,supported,96.80151515151515,86.45454545454545,951,9.215151515151515,6.181818181818182,883,92.84963196635121
qasper,Qasper,StreamingLLMPress,StreamingLLM,0.75,200,supported,29.5,29.5,59,25.0,25.0,12,20.33898305084746
qasper,Qasper,StreamingLLMPress,StreamingLLM,0.5,200,supported,29.5,29.5,59,21.5,21.5,20,33.89830508474576
qasper,Qasper,StreamingLLMPress,StreamingLLM,0.25,200,supported,29.5,29.5,59,17.5,17.5,26,44.06779661016949
qasper,Qasper,SnapKVPress,SnapKV,0.75,200,supported,29.5,29.5,59,31.5,31.5,1,1.694915254237288
qasper,Qasper,SnapKVPress,SnapKV,0.5,200,supported,29.5,29.5,59,27.500000000000004,27.500000000000004,5,8.47457627118644
qasper,Qasper,SnapKVPress,SnapKV,0.25,200,supported,29.5,29.5,59,27.500000000000004,27.500000000000004,7,11.864406779661017
qasper,Qasper,TOVAPress,TOVA,0.75,200,supported,29.5,29.5,59,30.0,30.0,0,0.0
qasper,Qasper,TOVAPress,TOVA,0.5,200,supported,29.5,29.5,59,28.999999999999996,28.999999999999996,6,10.16949152542373
qasper,Qasper,TOVAPress,TOVA,0.25,200,supported,29.5,29.5,59,27.500000000000004,27.500000000000004,10,16.94915254237288
qasper,Qasper,KeyDiffPress,KeyDiff,0.75,200,supported,29.5,29.5,59,24.5,24.5,11,18.64406779661017
qasper,Qasper,KeyDiffPress,KeyDiff,0.5,200,supported,29.5,29.5,59,18.0,18.0,24,40.67796610169492
qasper,Qasper,KeyDiffPress,KeyDiff,0.25,200,supported,29.5,29.5,59,13.5,13.5,34,57.6271186440678
qasper,Qasper,ThinKPress,ThinK,0.75,200,supported,29.5,29.5,59,28.000000000000004,28.000000000000004,6,10.16949152542373
qasper,Qasper,ThinKPress,ThinK,0.5,200,supported,29.5,29.5,59,6.5,6.5,46,77.96610169491525
qasper,Qasper,ThinKPress,ThinK,0.25,200,unsupported,29.5,29.5,59,,,0,
qasper,Qasper,ChunkKVPress_Knorm,ChunkKV,0.75,200,supported,29.5,29.5,59,24.0,24.0,14,23.728813559322035
qasper,Qasper,ChunkKVPress_Knorm,ChunkKV,0.5,200,supported,29.5,29.5,59,21.0,21.0,22,37.28813559322034
qasper,Qasper,ChunkKVPress_Knorm,ChunkKV,0.25,200,supported,29.5,29.5,59,18.5,18.5,24,40.67796610169492
qasper,Qasper,AdaKVPress,AdaKV,0.75,200,supported,29.5,29.5,59,30.5,30.5,0,0.0
qasper,Qasper,AdaKVPress,AdaKV,0.5,200,supported,29.5,29.5,59,27.500000000000004,27.500000000000004,6,10.16949152542373
qasper,Qasper,AdaKVPress,AdaKV,0.25,200,supported,29.5,29.5,59,27.0,27.0,7,11.864406779661017
qasper,Qasper,QuantizedCache,QuantizedCache,0.75,200,supported,29.5,29.5,59,29.5,29.5,1,1.694915254237288
