method_name,method_display,retained_budget,support_status,compressed_task_score,fullcache_correct_pairs,C_to_W_rows,C_to_W_rate_given_fullcache_correct
StreamingLLMPress,StreamingLLM,0.75,supported,73.38012820512822,2126,616,28.974600188146756
StreamingLLMPress,StreamingLLM,0.5,supported,53.48717948717949,2126,1158,54.468485418626535
StreamingLLMPress,StreamingLLM,0.25,supported,33.30897435897436,2126,1603,75.39981185324554
SnapKVPress,SnapKV,0.75,supported,89.73205128205129,2126,43,2.022577610536218
SnapKVPress,SnapKV,0.5,supported,86.13782051282051,2126,160,7.525870178739416
SnapKVPress,SnapKV,0.25,supported,78.53525641025641,2126,435,20.46095954844779
TOVAPress,TOVA,0.75,supported,89.81217948717949,2126,24,1.1288805268109126
TOVAPress,TOVA,0.5,supported,88.29551282051283,2126,95,4.468485418626528
TOVAPress,TOVA,0.25,supported,79.14358974358974,2126,406,19.09689557855127
KeyDiffPress,KeyDiff,0.75,supported,88.45641025641025,2126,126,5.9266227657572905
KeyDiffPress,KeyDiff,0.5,supported,82.18589743589743,2126,329,15.475070555032927
KeyDiffPress,KeyDiff,0.25,supported,69.66025641025641,2126,692,32.54938852304798
ThinKPress,ThinK,0.75,supported,89.87564102564103,2126,60,2.8222013170272815
ThinKPress,ThinK,0.5,supported,1.4615384615384615,2126,2089,98.25964252116651
ThinKPress,ThinK,0.25,unsupported,,0,0,
ChunkKVPress_Knorm,ChunkKV,0.75,supported,82.3474358974359,2126,384,18.0620884289746
ChunkKVPress_Knorm,ChunkKV,0.5,supported,70.63846153846154,2126,756,35.55973659454374
ChunkKVPress_Knorm,ChunkKV,0.25,supported,54.75961538461539,2126,1084,50.987770460959545
AdaKVPress,AdaKV,0.75,supported,89.77179487179487,2126,27,1.2699905926622765
AdaKVPress,AdaKV,0.5,supported,87.7775641025641,2126,108,5.079962370649106
AdaKVPress,AdaKV,0.25,supported,80.04358974358973,2126,389,18.297271872060207
QuantizedCache,QuantizedCache,0.75,supported,89.86794871794872,2126,17,0.7996237064910631
QuantizedCache,QuantizedCache,0.5,supported,89.32948717948717,2126,66,3.1044214487300095
QuantizedCache,QuantizedCache,0.25,supported,14.637820512820513,2126,1853,87.15898400752587
